formula;name;type;to_element;unit;N0_000_ha;N0_000_t;N1_048_ha;N1_048_t;N2_096_ha;N2_096_t;N3_144_ha;N3_144_t;N4_192_ha;N4_192_t;N5_240_ha;N5_240_t;N6_288_ha;N6_288_t
;Phosphorus, 18% in apatite;input;natural resource in ground;kg;48.41;23.39;114.8;23.86;169.3;23.81;202.9;23.79;219.9;23.78;221.5;23.9;219.6;24.11
;Granite;input;natural resource in ground;kg;203.7;98.4;511.3;106.3;745;104.8;889.8;104.3;964.8;104.3;991.6;107;1018;111.8
;Coal, hard, unspecified;input;natural resource in ground;kg;39.61;19.13;42.12;8.757;44.96;6.324;47.12;5.524;48.87;5.283;50.3;5.426;52.24;5.734
;coal, brown;input;natural resource in ground;kg;1.951;0.943;2.019;0.42;2.071;0.291;2.285;0.268;2.438;0.264;2.444;0.264;2.449;0.269
;Heavy oil       ;input;;kg;5.083;2.456;7.212;1.499;8.83;1.242;10.13;1.188;10.83;1.171;10.89;1.175;10.92;1.199
;Light oil/diesel;input;;kg;70.02;33.83;74.33;15.45;75.68;10.64;76.89;9.014;77.67;8.396;77.94;8.408;78.17;8.581
;Gas, natural;input;natural resource in ground;kg;4.404;2.128;45.88;9.539;86.97;12.23;127.7;14.97;167.7;18.13;207.1;22.34;246.4;27.05
;Total energy    ;input;;MJ;4371;2112;6686;1390;8851;1245;10967;1286;13006;1406;14958;1614;16916;1857
CH4           ;Methane, non-fossil;emission;non-urban air;kg;0.0004;0.0002;0.0047;0.0010;0.0089;0.0013;0.0129;0.0015;0.0168;0.0018;0.0205;0.0022;0.0242;0.0027
CO            ;Carbon monoxide, non-fossil;emission;air;kg;0.012;0.006;0.036;0.008;0.058;0.008;0.074;0.009;0.086;0.009;0.095;0.01;0.103;0.011
CO2           ;Carbon dioxide, fossil;emission;air low pollution density;kg;294.7;142.4;407.5;84.71;509;71.59;607.9;71.26;701.3;75.81;788.5;85.06;875.8;96.13
N2O           ;Dinitrogen monoxide;emission;air;kg;0.0000;0.0000;1.775;0.369;3.557;0.5;5.332;0.625;7.108;0.768;8.883;0.958;10.66;1.171
NH3           ;Ammonia;emission;air;kg;0.0001;0.0000;1.178;0.245;2.356;0.331;3.534;0.414;4.712;0.509;5.89;0.635;7.069;0.776
NOx           ;Nitrogen oxides;emission;air;kg;3.463;1.673;3.977;0.827;4.318;0.607;4.63;0.543;4.913;0.531;5.169;0.558;5.424;0.595
Particles/dust;Particulate Matter;emission;air;kg;0.404;0.195;0.472;0.098;0.519;0.073;0.553;0.065;0.572;0.062;0.576;0.062;0.578;0.063
SO2           ;Sulfur dioxide;emission;air;kg;1.612;0.779;2.042;0.425;2.366;0.333;2.58;0.303;2.701;0.292;2.739;0.296;2.766;0.304
NMVOC         ;Non-methane volatile organic compound;emission;air;kg;0.029;0.014;0.034;0.007;0.038;0.005;0.041;0.005;0.042;0.005;0.043;0.005;0.043;0.005
NO3-N         ;Nitrogen;emission;water;kg;0;0;0;0;0;0;1.483;0.174;8.99;0.972;36.88;3.978;63.3;6.949
Ntot          ;Nitrogen;emission;water;kg;0;0;0.005;0.001;0.01;0.001;0.016;0.002;0.021;0.002;0.026;0.003;0.031;0.003
Ptot          ;Phosphorus;emission;water;kg;0.025;0.012;0.059;0.012;0.086;0.012;0.104;0.012;0.112;0.012;0.113;0.012;0.112;0.012
Cd            ;Cadmium;emission;soil;kg;0.0012;0.0006;0.0030;0.0006;0.0044;0.0006;0.0052;0.0006;0.0057;0.0006;0.0057;0.0006;0.0057;0.0006
