province,altimetry,n_farms
Foggia,Pianura,5514
Forlì-Cesena,Pianura,197
Forlì-Cesena,Collina,81
Frosinone,Collina,291
Frosinone,Montagna,68
Grosseto,Collina,1049
Grosseto,Montagna,42
Grosseto,Pianura,347
Isernia,Collina,66
Isernia,Montagna,228
L'Aquila,Montagna,327
Latina,Pianura,172
Latina,Collina,78
Lecce,Pianura,3812
Livorno,Collina,475
Lodi,Pianura,33
Lucca,Montagna,16
Lucca,Pianura,38
Macerata,Collina,2699
Macerata,Montagna,77
Mantova,Collina,16
Mantova,Pianura,521
Matera,Montagna,90
Matera,Collina,3228
Matera,Pianura,1351
Messina,Montagna,534
Messina,Collina,329
Milano,Pianura,132
Modena,Collina,24
Modena,Montagna,20
Modena,Pianura,160
Napoli,Collina,81
Napoli,Pianura,68
Nuoro,Collina,129
Nuoro,Montagna,30
Oristano,Collina,241
Oristano,Pianura,379
Padova,Pianura,480
Padova,Collina,38
Palermo,Collina,3632
Palermo,Montagna,2867
Palermo,Pianura,591
Parma,Collina,187
Parma,Montagna,22
Parma,Pianura,269
Pavia,Collina,70
Pavia,Montagna,10
Pavia,Pianura,155
Perugia,Montagna,188
Perugia,Collina,821
Pesaro e Urbino,Collina,1070
