Area,ISO3.Code,lat,lon,port_name,port_lat,port_lon,inland_km,Demand.2010,Demand.2011,Demand.2012,Demand.2013,Demand.2014,Demand.2015,Demand.2016,Demand.2017,Demand.2018,Demand.2019,Demand.2020,Demand.2021,Demand.2022,Demand.2023
Northern America,CAN,57.7487688035733,-101.569822125212,Vancouver,49.28,-123.12,1696.3545,5220000,9351000,10258000,19079000,6502000,4844000,13593000,9227000,10255000,11012000,10431000,1721000,16417000,7259000
South America,BRA,-10.8067736434989,-53.0543400357671,Santos,-23.96,-46.33,1626.449,25743000,26727000,21232000,27654000,29669000,28929000,25289000,27426000,29685000,31918000,33154000,33110000,33795000,30760000
Central Asia,UZB,41.7486026646522,63.2036395282317,Karachi (gateway),24.86,67.01,1910.402,14804000,30697000,13626000,20393000,20350000,22237000,22347000,20922000,18670000,18865000,21816000,18692000,23854000,20087000
Eastern Europe,POL,52.1482602193319,19.3110143084487,Gdansk,54.35,18.65,248.7379,37254000,48114000,30986000,38642000,40593000,39254000,30776000,35208000,34112000,35911000,30296000,39448000,38577000,26280000
Northern Europe,GBR,53.8833587148482,-2.65799297938563,Felixstowe,51.95,1.31,341.9597,27241000,30086000,32225000,31930000,34792000,33959000,28381000,34079000,31068000,35072000,28428000,34317000,37242000,33296000
Western Europe,NLD,52.2987003744418,5.5122171009654,Rotterdam,51.95,4.14,101.3838,55377000,53401000,56277000,57092000,56422000,62309000,48004000,64069000,54741000,60390000,45486000,58379000,54914000,62544000
Oceania,AUS,-25.5607640622395,134.376078573618,Port Adelaide,-34.93,138.6,1117.6934,7150000,11151000,8074000,6614000,8924000,8596000,8070000,11719000,10408000,10517000,6692000,8450000,9737000,14231000
Russian Federation,RUS,61.6925647074082,99.2165267869251,Novorossiysk,44.72,37.77,4302.0101,29719000,40580000,22038000,39371000,38057000,40743000,48569000,53348000,28407000,42441000,48484000,48492000,81583000,60496000
India,IND,22.9250064074085,79.5937037632538,Mumbai,18.95,72.84,828.8287,80851000,86082000,89876000,86354000,91364000,85897000,93591000,103294000,99433000,103070000,106562000,102826000,99910000,110240000
Pakistan,PAK,29.9734600255474,69.4139980631813,Karachi,24.86,67.01,616.0616,23521000,21804000,22400000,23754000,26154000,24018000,24992000,26287000,22894000,23562000,27753000,29986000,28528000,30747000
United States of America,USA,39.5015541259931,-99.0602406280213,New Orleans,29.95,-90.07,1341.1944,36610000,25162000,40028000,29691000,34895000,39345000,43831000,26215000,35935000,31682000,30449000,27856000,31966000,40378000
Italy,ITA,43.472476107586,12.2194764873985,Genoa,44.41,8.93,283.2301,11808000,11138000,11202000,10519000,11936000,11724000,12739000,11052000,11404000,10936000,11034000,10879000,9476000,11736000
Eastern Africa,KEN,0.59596625217695,37.7915552866614,Mombasa,-4.05,39.67,557.1788,6070000,7527000,6169000,5967000,6889000,7269000,8829000,8089000,7022000,7876000,7537000,9049000,7633000,8544000
Middle Africa,AGO,-12.2915534387057,17.5029119215871,Luanda,-8.84,13.23,604.4644,2081000,2375000,2278000,2425000,2604000,2683000,2442000,2886000,2954000,2721000,2917000,3100000,2879000,3115000
Northern Africa,EGY,26.5066199997495,29.8444615131244,Alexandria,31.2,29.92,521.9318,24922000,25687000,26998000,26957000,32310000,28722000,34432000,29635000,29323000,27706000,30452000,26102000,26553000,23930000
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,Durban,-29.87,31.05,583.3556,1985000,2530000,2510000,1920000,2236000,1373000,2454000,2727000,2952000,2751000,3113000,2675000,2530000,2746000
Western Africa,NGA,9.54831841820997,7.99512775408979,Lagos,6.45,3.4,612.0805,6904000,6823000,6189000,6999000,8241000,8642000,8339000,10936000,9926000,9759000,11648000,12301000,10835000,10117000
Central America,MEX,23.9353719022448,-102.576349523987,Veracruz,19.2,-96.14,848.4203,6789000,6841000,7606000,6958000,6948000,7381000,7083000,8421000,7719000,8166000,7288000,7765000,7408000,7358000
Eastern Asia,KOR,36.4275986041549,127.821317128331,Busan,35.1,129.04,184.0697,15892000,17145000,18210000,16912000,15521000,14935000,15085000,15044000,14397000,13648000,13836000,14175000,14278000,13768000
Southern Asia,BGD,23.8394617953441,90.267928277196,Chattogram,22.33,91.8,229.6294,7356000,6719000,9995000,10063000,13116000,10169000,11000000,11413000,9545000,8447000,13857000,13919000,18634000,17671000
South-eastern Asia,IDN,-0.254301557222141,114.022683532525,Jakarta,-6.1,106.88,1025.0981,15065000,16657000,18392000,16394000,17775000,21989000,29708000,27674000,27655000,28587000,27945000,29179000,25473000,28797000
Western Asia,TUR,38.990729727953,35.3921024579343,Mersin,36.8,34.63,252.6072,19663000,25120000,26520000,27845000,31928000,31129000,30425000,37289000,33857000,40132000,43709000,43366000,43179000,40085000
Southern Europe,ESP,40.3486561062267,-3.61702060238737,Valencia,39.45,-0.32,298.455,8004000,8348000,9192000,5636000,8310000,8954000,9782000,9846000,8600000,8973000,6662000,6167000,7918000,13737000
China,CHN,36.6094323800447,103.865365256658,Shanghai,31.23,121.47,1727.8423,732000,586000,3144000,5225000,3394000,3314000,3596000,4701000,3800000,4078000,9895000,11520000,13558000,17181000
