Area,GatherMonth,ISO3.Code,lat,lon,port_name,port_lat,port_lon,inland_km,Prod.2010,Prod.2011,Prod.2012,Prod.2013,Prod.2014,Prod.2015,Prod.2016,Prod.2017,Prod.2018,Prod.2019,Prod.2020,Prod.2021,Prod.2022,Prod.2023
Northern America,6,CAN,57.7487688035733,-101.569822125212,Vancouver,49.28,-123.12,1696.3545,23312000,25298000,27257000,37607000,29452000,27661000,32161000,30390000,32216000,32688000,35456000,22439000,34357000,31980000
South America,12,ARG,-35.2201719959357,-65.149543390921,Buenos Aires,-34.6,-58.38,621,20465000,26528000,24306000,18239000,19591000,23723000,22778000,26246000,27157000,29001000,29984000,29338000,36430000,24714000
Central Asia,9,KAZ,48.1916620924959,67.2846086074656,Novorossiysk (gateway),44.72,37.77,2279.0826,19707000,31954000,19007000,23920000,22594000,23719000,25104000,23971000,21836000,20637000,23372000,20414000,25451000,20983000
Eastern Europe,7,UKR,48.9730179682021,31.3695330803563,Odesa,46.48,30.73,281.3049,47742000,56832000,45978000,59120000,65479000,66972000,68146000,69649000,64837000,71381000,64245000,78115000,64406000,68689000
Northern Europe,8,GBR,53.8833587148482,-2.65799297938563,Felixstowe,51.95,1.31,341.9597,26879000,27696000,26969000,24275000,32354000,34401000,29562000,31623000,23690000,33365000,26636000,30036000,32740000,28996000
Western Europe,7,FRA,46.6064633728632,2.33908864602935,Rouen,49.44,1.09,328.4711,67659000,64050000,65302000,68978000,72466000,74963000,58624000,67962000,60646000,69501000,57243000,62678000,62519000,62684000
Oceania,1,AUS,-25.5607640622395,134.376078573618,Port Adelaide,-34.93,138.6,1117.6934,22279000,27793000,30394000,23303000,25717000,24156000,22734000,32224000,21312000,17996000,14934000,32345000,36640000,41591000
Russian Federation,7,RUS,61.6925647074082,99.2165267869251,Novorossiysk,44.72,37.77,4302.0101,41508000,56240000,37720000,52091000,59711000,61786000,73346000,86003000,72136000,74453000,85899000,76064000,104244000,92778000
India,4,IND,22.9250064074085,79.5937037632538,Mumbai,18.95,72.84,828.8287,80804000,86874000,94880000,93510000,95850000,86530000,92290000,98510000,99870000,103596000,107861000,109587000,107742000,110554000
Pakistan,5,PAK,29.9734600255474,69.4139980631813,Karachi,24.86,67.01,616.0616,23331000,25228000,23489000,24227000,25995000,25128000,25656000,26685000,25090000,24374000,25272000,27504000,26215000,28166000
United States of America,7,USA,39.5015541259931,-99.0602406280213,New Orleans,29.95,-90.07,1341.1944,60164000,54486000,61762000,58052000,55234000,55933000,62928000,47479000,51410000,52685000,49878000,44906000,45007000,49451000
Italy,7,ITA,43.472476107586,12.2194764873985,Genoa,44.41,8.93,283.2301,6850000,6642000,7654000,7312000,7142000,7394000,8038000,6966000,6933000,6739000,6716000,7295000,6610000,6894000
